method,train_size,epoch,train_loss,val_loss,val_accuracy,val_f1
full_ft,500,1,2.938896,0.467424,0.820,0.812593
full_ft,500,2,0.659700,0.358915,0.880,0.877244
full_ft,500,3,0.157189,0.442694,0.880,0.877244
full_ft,500,4,0.021511,0.375703,0.900,0.898702
full_ft,500,5,0.009413,0.385635,0.900,0.898702
full_ft,5000,1,1.171921,0.204825,0.938,0.938135
full_ft,5000,2,0.478079,0.232747,0.934,0.934012
full_ft,5000,3,0.146035,0.269271,0.934,0.933958
lora,500,1,0.973004,0.609428,0.800,0.794891
lora,500,2,0.036008,0.672434,0.860,0.859808
lora,500,3,0.021443,0.900714,0.820,0.818269
lora,500,4,0.030505,0.871141,0.820,0.818269
lora,5000,1,1.182681,0.194640,0.932,0.931723
lora,5000,2,0.931478,0.226436,0.924,0.923655
lora,5000,3,0.301016,0.282961,0.942,0.942078
qlora,500,1,4.724484,0.557907,0.780,0.769638
qlora,500,2,1.229291,0.378422,0.840,0.838247
qlora,500,3,0.430971,0.380954,0.900,0.898333
qlora,500,4,0.048199,0.538077,0.880,0.879808
qlora,500,5,0.004337,0.552955,0.880,0.881438
qlora,5000,1,1.103348,0.199899,0.934,0.933759
qlora,5000,2,0.869331,0.238825,0.922,0.921823
qlora,5000,3,0.456445,0.316855,0.934,0.933875
